YTID,start_seconds,end_seconds,positive_labels,labels
-EFS2mihxs0, 240.000, 250.000," ""/m/02rhddq,/m/07yv9,/t/dd00129""","['""/m/02rhddq', '/m/07yv9', '/t/dd00129']"
-GREE8GdRrc, 30.000, 40.000," ""/m/02z32qm,/t/dd00129""","['""/m/02z32qm', '/t/dd00129']"
-MfaG0whPJc, 130.000, 140.000," ""/m/07qv4k0,/t/dd00129""","['""/m/07qv4k0', '/t/dd00129']"
-pjK2u3Qtxc, 230.000, 240.000," ""/m/028v0c,/m/09x0r,/t/dd00129""","['""/m/028v0c', '/m/09x0r', '/t/dd00129']"
0HVlzmjFe7k, 20.000, 30.000," ""/m/04cvmfc,/m/0cdnk,/t/dd00129""","['""/m/04cvmfc', '/m/0cdnk', '/t/dd00129']"
0MJPqGKIbZg, 20.000, 30.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
0mkgZLfBqsg, 30.000, 40.000," ""/m/04cvmfc,/m/04rlf,/m/0jbk,/t/dd00129""","['""/m/04cvmfc', '/m/04rlf', '/m/0jbk', '/t/dd00129']"
0pgG7Rk_eqM, 140.000, 150.000," ""/m/01j4z9,/t/dd00129""","['""/m/01j4z9', '/t/dd00129']"
0pxApm5Y6eM, 140.000, 150.000," ""/m/03p19w,/m/09x0r,/t/dd00129""","['""/m/03p19w', '/m/09x0r', '/t/dd00129']"
1JEa_q6nHOE, 90.000, 100.000," ""/m/0cj0r,/t/dd00129""","['""/m/0cj0r', '/t/dd00129']"
1TpuuM-CRfE, 100.000, 110.000," ""/g/122z_qxw,/m/09x0r,/t/dd00129""","['""/g/122z_qxw', '/m/09x0r', '/t/dd00129']"
1WwhvBedzOg, 220.000, 230.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
1_PQvsAw110, 70.000, 80.000," ""/m/07phhsh,/m/07yv9,/t/dd00129""","['""/m/07phhsh', '/m/07yv9', '/t/dd00129']"
1hizec7Ei2Y, 10.000, 20.000," ""/m/01jg1z,/m/09x0r,/t/dd00129""","['""/m/01jg1z', '/m/09x0r', '/t/dd00129']"
1jokDJHu4_s, 40.000, 50.000," ""/m/07pb8fc,/m/07yv9,/t/dd00129""","['""/m/07pb8fc', '/m/07yv9', '/t/dd00129']"
1jyBARHxmlc, 160.000, 170.000," ""/m/03k3r,/m/04rlf,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/04rlf', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
2-1wY_Ndtgw, 10.000, 20.000," ""/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00129,/t/dd00130""","['""/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00129', '/t/dd00130']"
20CeP51xlBs, 10.000, 20.000," ""/m/07rrh0c,/t/dd00129""","['""/m/07rrh0c', '/t/dd00129']"
2TsRyytlQww, 70.000, 80.000," ""/m/04rlf,/m/07qs1cx,/t/dd00129""","['""/m/04rlf', '/m/07qs1cx', '/t/dd00129']"
2gkoNwdaBm8, 370.000, 380.000," ""/m/02fxyj,/t/dd00129""","['""/m/02fxyj', '/t/dd00129']"
2lBZ6yPW9WU, 360.000, 370.000," ""/m/02bxd,/m/04rlf,/t/dd00129""","['""/m/02bxd', '/m/04rlf', '/t/dd00129']"
3GI2lANcVEY, 290.000, 300.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
3S9-pp9ijJU, 20.000, 30.000," ""/m/07p6mqd,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
3s5FHwyhF-w, 70.000, 80.000," ""/m/03k3r,/m/09x0r,/m/0ch8v,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/09x0r', '/m/0ch8v', '/m/0jbk', '/t/dd00129']"
4kPu2QmfKaQ, 580.000, 590.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
4uVeFs-4i1w, 160.000, 170.000," ""/m/07qv_d5,/m/07r04,/m/07yv9,/t/dd00129""","['""/m/07qv_d5', '/m/07r04', '/m/07yv9', '/t/dd00129']"
5B7lDpIYNj0, 510.000, 520.000," ""/m/03p19w,/m/09x0r,/t/dd00129""","['""/m/03p19w', '/m/09x0r', '/t/dd00129']"
68hHsTC4lfI, 240.000, 250.000," ""/m/07s0dtb,/m/09x0r,/t/dd00129""","['""/m/07s0dtb', '/m/09x0r', '/t/dd00129']"
6WX4cEj7sTc, 400.000, 410.000," ""/m/09x0r,/m/0jbk,/m/0ytgt,/t/dd00129,/t/dd00136""","['""/m/09x0r', '/m/0jbk', '/m/0ytgt', '/t/dd00129', '/t/dd00136']"
6eqjdgiGAsE, 10.000, 20.000," ""/m/07r04,/m/07yv9,/m/09x0r,/t/dd00129,/t/dd00130""","['""/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00129', '/t/dd00130']"
6kEVmrfasFE, 100.000, 110.000," ""/m/068zj,/m/0jbk,/t/dd00129""","['""/m/068zj', '/m/0jbk', '/t/dd00129']"
70ia88_c-rU, 30.000, 40.000," ""/m/05x_td,/m/0912c9,/t/dd00129""","['""/m/05x_td', '/m/0912c9', '/t/dd00129']"
7AiAK5YI-sw, 0.000, 10.000," ""/m/0cj0r,/t/dd00129""","['""/m/0cj0r', '/t/dd00129']"
845X9JEGzsU, 30.000, 40.000," ""/m/06h7j,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/06h7j', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
8DvUWo9Zxzk, 160.000, 170.000," ""/m/0199g,/m/03vt0,/m/07yv9,/t/dd00129""","['""/m/0199g', '/m/03vt0', '/m/07yv9', '/t/dd00129']"
8a9bzBiund8, 70.000, 80.000," ""/m/03p19w,/m/04rlf,/m/09x0r,/t/dd00129""","['""/m/03p19w', '/m/04rlf', '/m/09x0r', '/t/dd00129']"
8ofrO5oTmu4, 280.000, 290.000," ""/m/02l6bg,/m/07yv9,/m/09ct_,/m/09x0r,/m/0k5j,/t/dd00129""","['""/m/02l6bg', '/m/07yv9', '/m/09ct_', '/m/09x0r', '/m/0k5j', '/t/dd00129']"
8sqewUGPr-w, 300.000, 310.000," ""/m/02rhddq,/m/07yv9,/t/dd00129""","['""/m/02rhddq', '/m/07yv9', '/t/dd00129']"
9-ymRm0OHgY, 580.000, 590.000," ""/m/02mk9,/m/07qv_d5,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/02mk9', '/m/07qv_d5', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
91J13TaWA54, 480.000, 490.000," ""/m/07p6mqd,/t/dd00129""","['""/m/07p6mqd', '/t/dd00129']"
9It3a2bN2Uw, 90.000, 100.000," ""/m/06mb1,/m/07p6mqd,/m/09x0r,/m/0j2kx,/t/dd00129""","['""/m/06mb1', '/m/07p6mqd', '/m/09x0r', '/m/0j2kx', '/t/dd00129']"
9n-7KuMjTN8, 460.000, 470.000," ""/m/020bb7,/m/06_y0by,/m/09x0r,/t/dd00129""","['""/m/020bb7', '/m/06_y0by', '/m/09x0r', '/t/dd00129']"
9s1FsAilsEo, 200.000, 210.000," ""/m/07pbtc8,/t/dd00129""","['""/m/07pbtc8', '/t/dd00129']"
ADnh2FcZwLg, 230.000, 240.000," ""/m/07pxg6y,/t/dd00129""","['""/m/07pxg6y', '/t/dd00129']"
ASpHEHMNGNY, 330.000, 340.000," ""/m/09x0r,/m/0c2wf,/t/dd00129""","['""/m/09x0r', '/m/0c2wf', '/t/dd00129']"
ArIES6ScYzo, 330.000, 340.000," ""/m/07yv9,/m/09ct_,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/07yv9', '/m/09ct_', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
BeAPmtJjv84, 80.000, 90.000," ""/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/09x0r', '/m/0cdnk', '/m/0jbk', '/t/dd00129']"
BqUmykGH5iA, 170.000, 180.000," ""/m/02_nn,/m/04rlf,/m/09x0r,/t/dd00129""","['""/m/02_nn', '/m/04rlf', '/m/09x0r', '/t/dd00129']"
C1O7V0jiiNw, 290.000, 300.000," ""/m/07yv9,/m/0k4j,/t/dd00129,/t/dd00130""","['""/m/07yv9', '/m/0k4j', '/t/dd00129', '/t/dd00130']"
C5QxHyI1GBc, 520.000, 530.000," ""/m/068hy,/m/07ppn3j,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00129""","['""/m/068hy', '/m/07ppn3j', '/m/09x0r', '/m/0bt9lr', '/m/0jbk', '/t/dd00129']"
CSfJWw9cM2s, 100.000, 110.000," ""/m/03m9d0z,/m/05zppz,/m/09x0r,/t/dd00129""","['""/m/03m9d0z', '/m/05zppz', '/m/09x0r', '/t/dd00129']"
CgsIv8K3WUo, 20.000, 30.000," ""/m/014yck,/t/dd00129""","['""/m/014yck', '/t/dd00129']"
DqOo0Qol89o, 40.000, 50.000," ""/m/02l6bg,/m/07yv9,/t/dd00129""","['""/m/02l6bg', '/m/07yv9', '/t/dd00129']"
DwZUTNBDRL8, 20.000, 30.000," ""/m/06_y0by,/m/09x0r,/t/dd00129""","['""/m/06_y0by', '/m/09x0r', '/t/dd00129']"
E38PXEciF8g, 140.000, 150.000," ""/m/04rlf,/m/07plz5l,/m/09x0r,/t/dd00126,/t/dd00129""","['""/m/04rlf', '/m/07plz5l', '/m/09x0r', '/t/dd00126', '/t/dd00129']"
E4vMZ4hiP2c, 30.000, 40.000," ""/m/06h7j,/m/09x0r,/t/dd00129""","['""/m/06h7j', '/m/09x0r', '/t/dd00129']"
ERCi_E0b55E, 20.000, 30.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
EnI-eQFpyzo, 280.000, 290.000," ""/g/122z_qxw,/t/dd00129""","['""/g/122z_qxw', '/t/dd00129']"
F9qxvpX7ndI, 330.000, 340.000," ""/m/07phhsh,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00129""","['""/m/07phhsh', '/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00129']"
FD7parB_sk8, 140.000, 150.000," ""/m/04rlf,/m/07q4ntr,/m/09x0r,/t/dd00129""","['""/m/04rlf', '/m/07q4ntr', '/m/09x0r', '/t/dd00129']"
FIXuC8uQyig, 60.000, 70.000," ""/m/0199g,/m/09x0r,/t/dd00129""","['""/m/0199g', '/m/09x0r', '/t/dd00129']"
Fdmeo7qIDI0, 490.000, 500.000," ""/m/03k3r,/m/0ch8v,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/0ch8v', '/m/0jbk', '/t/dd00129']"
G344XaqIv54, 20.000, 30.000," ""/m/09x0r,/t/dd00129,/t/dd00130""","['""/m/09x0r', '/t/dd00129', '/t/dd00130']"
G69phlNIvmU, 100.000, 110.000," ""/m/07s2xch,/m/09x0r,/t/dd00129""","['""/m/07s2xch', '/m/09x0r', '/t/dd00129']"
GMv-kUGutNU, 0.000, 10.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
GTek_WTbziQ, 50.000, 60.000," ""/m/07s0dtb,/t/dd00129""","['""/m/07s0dtb', '/t/dd00129']"
Gi2q0XWyAs4, 40.000, 50.000," ""/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00129,/t/dd00136""","['""/m/068hy', '/m/07r_k2n', '/m/0bt9lr', '/m/0jbk', '/t/dd00129', '/t/dd00136']"
GtGaiVGQ33w, 30.000, 40.000," ""/m/05zppz,/m/09x0r,/t/dd00129""","['""/m/05zppz', '/m/09x0r', '/t/dd00129']"
H18auYh6y-Q, 160.000, 170.000," ""/m/01280g,/m/04rlf,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/04rlf', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
HGtnqoU1kdc, 90.000, 100.000," ""/m/07hvw1,/m/07yv9,/t/dd00129""","['""/m/07hvw1', '/m/07yv9', '/t/dd00129']"
HH4i5kCOLyA, 50.000, 60.000," ""/m/03fwl,/m/04rlf,/m/07bgp,/m/09x0r,/t/dd00129""","['""/m/03fwl', '/m/04rlf', '/m/07bgp', '/m/09x0r', '/t/dd00129']"
HTtVCNQXNbw, 320.000, 330.000," ""/m/015p6,/m/07r5c2p,/m/09x0r,/t/dd00129""","['""/m/015p6', '/m/07r5c2p', '/m/09x0r', '/t/dd00129']"
Hi93ivFcvy0, 140.000, 150.000," ""/m/07mzm6,/m/09x0r,/t/dd00129""","['""/m/07mzm6', '/m/09x0r', '/t/dd00129']"
HrwpdRe7meM, 10.000, 20.000," ""/m/02w4v,/m/04rlf,/t/dd00129""","['""/m/02w4v', '/m/04rlf', '/t/dd00129']"
I1jgx51-ukc, 300.000, 310.000," ""/m/02mk9,/m/04k94,/m/07r5v4s,/t/dd00129""","['""/m/02mk9', '/m/04k94', '/m/07r5v4s', '/t/dd00129']"
IEHu2blVblA, 40.000, 50.000," ""/m/03k3r,/m/05x_td,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/03k3r', '/m/05x_td', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
IcoCfcyK-EI, 10.000, 20.000," ""/m/01jg1z,/t/dd00129""","['""/m/01jg1z', '/t/dd00129']"
IywDfIjWeIk, 240.000, 250.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
JMxLzd_RYDI, 170.000, 180.000," ""/m/03p19w,/t/dd00129""","['""/m/03p19w', '/t/dd00129']"
JYOWDEpuh0w, 110.000, 120.000," ""/m/068zj,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/068zj', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
Jhp7vwvAic4, 220.000, 230.000," ""/m/015p6,/m/09ddx,/t/dd00129""","['""/m/015p6', '/m/09ddx', '/t/dd00129']"
Jp2ksI9t_2E, 440.000, 450.000," ""/m/014yck,/m/0k5j,/t/dd00129""","['""/m/014yck', '/m/0k5j', '/t/dd00129']"
KOX2HudX8B8, 20.000, 30.000," ""/m/06_y0by,/t/dd00129""","['""/m/06_y0by', '/t/dd00129']"
KTrW_NFsXwA, 20.000, 30.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
KUGf-irpTMQ, 110.000, 120.000," ""/m/01280g,/m/04rlf,/m/07y_7,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/04rlf', '/m/07y_7', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
L52FAJDaa48, 170.000, 180.000," ""/m/020bb7,/m/06_y0by,/t/dd00129""","['""/m/020bb7', '/m/06_y0by', '/t/dd00129']"
LV19CosDySA, 0.000, 10.000," ""/m/01280g,/m/04cvmfc,/m/04rlf,/m/09x0r,/m/0cdnk,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/04cvmfc', '/m/04rlf', '/m/09x0r', '/m/0cdnk', '/m/0jbk', '/t/dd00129']"
L_9U6xDeYcU, 20.000, 30.000," ""/m/04fq5q,/m/05kq4,/m/0912c9,/m/09x0r,/t/dd00129""","['""/m/04fq5q', '/m/05kq4', '/m/0912c9', '/m/09x0r', '/t/dd00129']"
LhVooeKuLf0, 490.000, 500.000," ""/m/04fgwm,/t/dd00129""","['""/m/04fgwm', '/t/dd00129']"
LmFxy9yXb34, 30.000, 40.000," ""/m/01280g,/m/04cvmfc,/m/0cdnk,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/04cvmfc', '/m/0cdnk', '/m/0jbk', '/t/dd00129']"
LsY_YZDzIY0, 290.000, 300.000," ""/m/07r04,/m/07yv9,/m/0gvgw0,/t/dd00129""","['""/m/07r04', '/m/07yv9', '/m/0gvgw0', '/t/dd00129']"
MStyPWh3La4, 120.000, 130.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
MnD5rqXwzww, 480.000, 490.000," ""/m/04rlf,/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00129""","['""/m/04rlf', '/m/09x0r', '/m/0ytgt', '/t/dd00013', '/t/dd00129']"
N3zMQvVkpBo, 20.000, 30.000," ""/m/04k94,/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/04k94', '/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
N8oL33zAKGo, 380.000, 390.000," ""/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/014yck', '/m/07yv9', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
NCEyRZ3Y_4Y, 350.000, 360.000," ""/m/07phhsh,/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129""","['""/m/07phhsh', '/m/07yv9', '/m/0k4j', '/m/0ltv', '/t/dd00129']"
Ndc4lN9GoGk, 10.000, 20.000," ""/m/03fwl,/m/068hy,/m/07bgp,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/03fwl', '/m/068hy', '/m/07bgp', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
NuB5i2H27dg, 9.000, 19.000," ""/m/04fq5q,/t/dd00129""","['""/m/04fq5q', '/t/dd00129']"
Oc2GxHmEJTE, 220.000, 230.000," ""/m/09x0r,/t/dd00121,/t/dd00129""","['""/m/09x0r', '/t/dd00121', '/t/dd00129']"
Oqi_AoWhFkY, 100.000, 110.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
P-10IhHpXEM, 70.000, 80.000," ""/m/01280g,/m/0cdnk,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/0cdnk', '/m/0jbk', '/t/dd00129']"
P8O7pnjJfkM, 0.000, 10.000," ""/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129""","['""/m/01z5f', '/m/068hy', '/m/0bt9lr', '/m/0jbk', '/t/dd00129']"
PSnvT4-JYoc, 490.000, 500.000," ""/m/04rlf,/m/0cj0r,/t/dd00129""","['""/m/04rlf', '/m/0cj0r', '/t/dd00129']"
PhUBiNm51gc, 200.000, 210.000," ""/m/04rlf,/m/07s2xch,/m/09x0r,/t/dd00129""","['""/m/04rlf', '/m/07s2xch', '/m/09x0r', '/t/dd00129']"
Pj6G2P59vdQ, 30.000, 40.000," ""/m/09x0r,/m/0cj0r,/t/dd00129""","['""/m/09x0r', '/m/0cj0r', '/t/dd00129']"
PlcEZtXPHj8, 130.000, 140.000," ""/m/015p6,/m/04rlf,/m/07sx8x_,/m/09x0r,/t/dd00129""","['""/m/015p6', '/m/04rlf', '/m/07sx8x_', '/m/09x0r', '/t/dd00129']"
QDZ7qZ6221k, 10.000, 20.000," ""/m/018j2,/m/04rlf,/m/083vt,/m/09x0r,/t/dd00129""","['""/m/018j2', '/m/04rlf', '/m/083vt', '/m/09x0r', '/t/dd00129']"
QLNn3qg1RAE, 110.000, 120.000," ""/m/068zj,/m/09x0r,/t/dd00129""","['""/m/068zj', '/m/09x0r', '/t/dd00129']"
QSYttHIqWBQ, 40.000, 50.000," ""/m/06wzb,/m/07qlf79,/m/09x0r,/t/dd00129""","['""/m/06wzb', '/m/07qlf79', '/m/09x0r', '/t/dd00129']"
QYP_8S9qPzs, 30.000, 40.000," ""/m/09x0r,/m/0cdnk,/m/0ghcn6,/t/dd00129""","['""/m/09x0r', '/m/0cdnk', '/m/0ghcn6', '/t/dd00129']"
RAomqDWTVuA, 23.000, 33.000," ""/m/06h7j,/m/09x0r,/t/dd00129""","['""/m/06h7j', '/m/09x0r', '/t/dd00129']"
RMjmuLRyyKE, 0.000, 10.000," ""/g/122z_qxw,/m/09x0r,/t/dd00129""","['""/g/122z_qxw', '/m/09x0r', '/t/dd00129']"
RpC9asjOcVQ, 500.000, 510.000," ""/m/05x_td,/m/09x0r,/t/dd00129""","['""/m/05x_td', '/m/09x0r', '/t/dd00129']"
StsMliJkaYk, 420.000, 430.000," ""/m/04rlf,/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/04rlf', '/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
T0jJZL3GKT0, 260.000, 270.000," ""/m/014yck,/m/04rlf,/m/07yv9,/m/0k5j,/t/dd00129""","['""/m/014yck', '/m/04rlf', '/m/07yv9', '/m/0k5j', '/t/dd00129']"
T3QuUCRzAL8, 0.000, 10.000," ""/m/04rlf,/t/dd00121,/t/dd00129""","['""/m/04rlf', '/t/dd00121', '/t/dd00129']"
T8cnEXIwjWA, 0.000, 10.000," ""/m/01280g,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/01280g', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
U7pc2A42FFI, 30.000, 40.000," ""/m/07q7njn,/m/09x0r,/t/dd00129""","['""/m/07q7njn', '/m/09x0r', '/t/dd00129']"
UjlMSYSx49k, 50.000, 60.000," ""/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07qv_d5,/m/07yv9,/t/dd00129""","['""/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07qv_d5', '/m/07yv9', '/t/dd00129']"
VA9sY3fKPew, 60.000, 70.000," ""/m/07qfr4h,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
VPp9ArDokWY, 30.000, 40.000," ""/m/09t49,/m/09x0r,/t/dd00129""","['""/m/09t49', '/m/09x0r', '/t/dd00129']"
VaYTwG9xIRA, 10.000, 20.000," ""/m/04rlf,/m/07q7njn,/t/dd00129""","['""/m/04rlf', '/m/07q7njn', '/t/dd00129']"
ViIQZ6_728g, 330.000, 340.000," ""/m/09x0r,/m/0cj0r,/t/dd00129""","['""/m/09x0r', '/m/0cj0r', '/t/dd00129']"
W5nq1ytuzAw, 420.000, 430.000," ""/m/04rlf,/m/07pc8lb,/t/dd00129""","['""/m/04rlf', '/m/07pc8lb', '/t/dd00129']"
WMw6PG4caDU, 480.000, 490.000," ""/m/015p6,/m/04s8yn,/m/07r5c2p,/m/09x0r,/t/dd00129""","['""/m/015p6', '/m/04s8yn', '/m/07r5c2p', '/m/09x0r', '/t/dd00129']"
W_K-o9jP4tQ, 80.000, 90.000," ""/m/03p19w,/m/09x0r,/t/dd00129""","['""/m/03p19w', '/m/09x0r', '/t/dd00129']"
Wy-PhjWxheo, 200.000, 210.000," ""/m/0cj0r,/t/dd00129""","['""/m/0cj0r', '/t/dd00129']"
