YTID,start_seconds,end_seconds,positive_labels,labels
XrLmM8bZTZA, 310.000, 320.000," ""/m/07bjf,/m/09x0r,/t/dd00129""","['""/m/07bjf', '/m/09x0r', '/t/dd00129']"
YCy_jDZJy3Y, 230.000, 240.000," ""/m/05tny_,/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00129,/t/dd00136""","['""/m/05tny_', '/m/068hy', '/m/07r_k2n', '/m/07rc7d9', '/m/09x0r', '/m/0bt9lr', '/m/0jbk', '/t/dd00129', '/t/dd00136']"
YOlATZrF6EA, 420.000, 430.000," ""/m/0199g,/m/07rkbfh,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/0199g', '/m/07rkbfh', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
YXY1d7vHcQE, 310.000, 320.000," ""/m/07hvw1,/t/dd00129""","['""/m/07hvw1', '/t/dd00129']"
YsFr8ZFSQOw, 360.000, 370.000," ""/m/04rlf,/m/04rzd,/t/dd00129""","['""/m/04rlf', '/m/04rzd', '/t/dd00129']"
YskxakrmawA, 50.000, 60.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
ZECf-tMu4-w, 130.000, 140.000," ""/m/03k3r,/m/04rlf,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/04rlf', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
ZPK1hSPI540, 220.000, 230.000," ""/m/020bb7,/m/04rlf,/m/06cqb,/m/07pggtn,/t/dd00129""","['""/m/020bb7', '/m/04rlf', '/m/06cqb', '/m/07pggtn', '/t/dd00129']"
ZQ0WfE3nAEU, 230.000, 240.000," ""/m/019jd,/m/07hvw1,/m/09x0r,/t/dd00129""","['""/m/019jd', '/m/07hvw1', '/m/09x0r', '/t/dd00129']"
ZocCGcJcGJE, 30.000, 40.000," ""/m/04rlf,/t/dd00037,/t/dd00129""","['""/m/04rlf', '/t/dd00037', '/t/dd00129']"
_Qv0bqnyNj8, 0.000, 10.000," ""/m/02y_763,/m/09x0r,/t/dd00129""","['""/m/02y_763', '/m/09x0r', '/t/dd00129']"
_XBqA_26vus, 30.000, 40.000," ""/m/07pbtc8,/t/dd00129""","['""/m/07pbtc8', '/t/dd00129']"
_k2FMiR9B9o, 430.000, 440.000," ""/m/02c8p,/m/09x0r,/t/dd00129""","['""/m/02c8p', '/m/09x0r', '/t/dd00129']"
_yWQ4Up7E6w, 80.000, 90.000," ""/m/07pyf11,/m/07yv9,/m/0k4j,/t/dd00129""","['""/m/07pyf11', '/m/07yv9', '/m/0k4j', '/t/dd00129']"
aEbYdJCy9GI, 0.000, 10.000," ""/m/0chx_,/t/dd00129""","['""/m/0chx_', '/t/dd00129']"
bE2KZveD5Q4, 60.000, 70.000," ""/m/02rhddq,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/02rhddq', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
bIRvWvHrryM, 30.000, 40.000," ""/m/06h7j,/t/dd00129""","['""/m/06h7j', '/t/dd00129']"
bSmETT8exHg, 170.000, 180.000," ""/m/07pb8fc,/m/07yv9,/t/dd00067,/t/dd00129""","['""/m/07pb8fc', '/m/07yv9', '/t/dd00067', '/t/dd00129']"
cAsDgKv-4rw, 10.000, 20.000," ""/m/06_y0by,/m/09x0r,/t/dd00129""","['""/m/06_y0by', '/m/09x0r', '/t/dd00129']"
cwgGYQBCt5A, 180.000, 190.000," ""/m/07s0dtb,/m/09x0r,/t/dd00129""","['""/m/07s0dtb', '/m/09x0r', '/t/dd00129']"
d-V3FtnzYLo, 30.000, 40.000," ""/m/04rlf,/m/05zppz,/m/09x0r,/t/dd00129""","['""/m/04rlf', '/m/05zppz', '/m/09x0r', '/t/dd00129']"
d04Otl4k14E, 320.000, 330.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
dAOa3WbL54w, 120.000, 130.000," ""/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/014yck', '/m/07yv9', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
d__b-wqlFvU, 350.000, 360.000," ""/m/04cvmfc,/m/04rlf,/t/dd00129""","['""/m/04cvmfc', '/m/04rlf', '/t/dd00129']"
dfzk2tlX4co, 110.000, 120.000," ""/m/07rkbfh,/m/09x0r,/t/dd00129""","['""/m/07rkbfh', '/m/09x0r', '/t/dd00129']"
dkaPAIFCE-c, 40.000, 50.000," ""/m/09x0r,/m/0cj0r,/t/dd00129""","['""/m/09x0r', '/m/0cj0r', '/t/dd00129']"
dohLSefRWxg, 9.000, 19.000," ""/m/04k94,/m/06h7j,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/04k94', '/m/06h7j', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
duylvlnoC2Q, 20.000, 30.000," ""/m/07rkbfh,/m/09x0r,/t/dd00129""","['""/m/07rkbfh', '/m/09x0r', '/t/dd00129']"
dwTBAxizdjY, 570.000, 580.000," ""/m/025rv6n,/m/04rlf,/m/09b5t,/m/09ddx,/m/09x0r,/t/dd00129""","['""/m/025rv6n', '/m/04rlf', '/m/09b5t', '/m/09ddx', '/m/09x0r', '/t/dd00129']"
dxTluhuhL3w, 310.000, 320.000," ""/m/04rlf,/m/07p6mqd,/t/dd00129""","['""/m/04rlf', '/m/07p6mqd', '/t/dd00129']"
e1CyYubSNzY, 360.000, 370.000," ""/m/02z32qm,/m/04rlf,/m/09x0r,/t/dd00129""","['""/m/02z32qm', '/m/04rlf', '/m/09x0r', '/t/dd00129']"
e6Df7Ocuqcs, 180.000, 190.000," ""/m/0cdnk,/m/0jbk,/t/dd00129""","['""/m/0cdnk', '/m/0jbk', '/t/dd00129']"
eZrrzGgTpfk, 100.000, 110.000," ""/m/04rlf,/m/07kc_,/t/dd00129""","['""/m/04rlf', '/m/07kc_', '/t/dd00129']"
fdt3_-KXOhE, 330.000, 340.000," ""/m/03k3r,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
fiZpOV40_Rg, 180.000, 190.000," ""/m/0790c,/t/dd00129""","['""/m/0790c', '/t/dd00129']"
fu1zSYsrkbc, 10.000, 20.000," ""/m/04rlf,/m/0m0jc,/t/dd00129""","['""/m/04rlf', '/m/0m0jc', '/t/dd00129']"
fyUd2i0UWWk, 310.000, 320.000," ""/m/07rjzl8,/t/dd00129""","['""/m/07rjzl8', '/t/dd00129']"
g0K_MKLP660, 340.000, 350.000," ""/m/07r5v4s,/m/09x0r,/t/dd00129""","['""/m/07r5v4s', '/m/09x0r', '/t/dd00129']"
gE4S_Xp0SS0, 220.000, 230.000," ""/m/04_sv,/m/07yv9,/m/09x0r,/t/dd00129,/t/dd00130""","['""/m/04_sv', '/m/07yv9', '/m/09x0r', '/t/dd00129', '/t/dd00130']"
gSH1W5Aky_k, 120.000, 130.000," ""/m/04rlf,/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/04rlf', '/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
gc6s9fopyg8, 20.000, 30.000," ""/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/014yck', '/m/07yv9', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
gm5tHzVCBFs, 110.000, 120.000," ""/m/07pbtc8,/m/09x0r,/t/dd00129""","['""/m/07pbtc8', '/m/09x0r', '/t/dd00129']"
gwD_19w--Bo, 420.000, 430.000," ""/m/07qfr4h,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
h2Tb9weUZA4, 110.000, 120.000," ""/m/03q5_w,/m/09x0r,/t/dd00129""","['""/m/03q5_w', '/m/09x0r', '/t/dd00129']"
h8tLFIsA_MQ, 70.000, 80.000," ""/g/122z_qxw,/t/dd00129""","['""/g/122z_qxw', '/t/dd00129']"
hHQZepALpHQ, 60.000, 70.000," ""/m/03k3r,/m/04rlf,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/04rlf', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
hNGGQVVLXpA, 0.000, 10.000," ""/m/07ppn3j,/m/09x0r,/t/dd00129""","['""/m/07ppn3j', '/m/09x0r', '/t/dd00129']"
hO_wcYLXrIo, 280.000, 290.000," ""/m/09t49,/m/09x0r,/t/dd00129""","['""/m/09t49', '/m/09x0r', '/t/dd00129']"
hdfwwx27mtY, 180.000, 190.000," ""/m/07qv_d5,/m/09x0r,/t/dd00128,/t/dd00129""","['""/m/07qv_d5', '/m/09x0r', '/t/dd00128', '/t/dd00129']"
hlWSn4An3Mk, 60.000, 70.000," ""/g/122z_qxw,/t/dd00129""","['""/g/122z_qxw', '/t/dd00129']"
hpmus9iJwDg, 370.000, 380.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
iEgERcuzwOo, 10.000, 20.000," ""/m/07phhsh,/t/dd00129""","['""/m/07phhsh', '/t/dd00129']"
iLQBKyFll84, 10.000, 20.000," ""/m/07r660_,/m/09x0r,/t/dd00129""","['""/m/07r660_', '/m/09x0r', '/t/dd00129']"
iMl_HtFVS84, 170.000, 180.000," ""/m/04rlf,/m/0cj0r,/t/dd00129""","['""/m/04rlf', '/m/0cj0r', '/t/dd00129']"
irutvIeDEVs, 440.000, 450.000," ""/m/02l6bg,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/02l6bg', '/m/07yv9', '/m/09x0r', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
jF_iSssgFr0, 10.000, 20.000," ""/m/01yrx,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk,/t/dd00125,/t/dd00129""","['""/m/01yrx', '/m/068hy', '/m/07r81j2', '/m/09x0r', '/m/0jbk', '/t/dd00125', '/t/dd00129']"
jOSDrTDoB0o, 50.000, 60.000," ""/m/02l6bg,/m/07yv9,/m/0k5j,/t/dd00129""","['""/m/02l6bg', '/m/07yv9', '/m/0k5j', '/t/dd00129']"
j_ZwYJNu5mE, 130.000, 140.000," ""/m/015p6,/m/020bb7,/m/06_y0by,/m/07pggtn,/t/dd00129""","['""/m/015p6', '/m/020bb7', '/m/06_y0by', '/m/07pggtn', '/t/dd00129']"
jiqEmXrsVAw, 210.000, 220.000," ""/m/07pb8fc,/m/07yv9,/t/dd00129""","['""/m/07pb8fc', '/m/07yv9', '/t/dd00129']"
jjJgbpw0QmA, 0.000, 10.000," ""/m/03m9d0z,/m/09t49,/t/dd00129""","['""/m/03m9d0z', '/m/09t49', '/t/dd00129']"
jjSWxBE4L8g, 90.000, 100.000," ""/m/0199g,/m/07yv9,/t/dd00129""","['""/m/0199g', '/m/07yv9', '/t/dd00129']"
jm1w8J_n61k, 1.000, 11.000," ""/m/04fq5q,/m/09x0r,/t/dd00129""","['""/m/04fq5q', '/m/09x0r', '/t/dd00129']"
jns0QBl5X4s, 30.000, 40.000," ""/m/012f08,/m/07q2z82,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j,/m/0ltv,/t/dd00129,/t/dd00134""","['""/m/012f08', '/m/07q2z82', '/m/07rknqz', '/m/07yv9', '/m/09x0r', '/m/0k4j', '/m/0ltv', '/t/dd00129', '/t/dd00134']"
jt5DbLRO4l0, 520.000, 530.000," ""/m/09t49,/m/09x0r,/t/dd00129""","['""/m/09t49', '/m/09x0r', '/t/dd00129']"
kNVmUxvzNi8, 540.000, 550.000," ""/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00129""","['""/m/03wwcy', '/m/04rlf', '/m/09x0r', '/t/dd00129']"
k_kRSOra2qA, 280.000, 290.000," ""/m/05zppz,/m/07prgkl,/m/09x0r,/t/dd00129""","['""/m/05zppz', '/m/07prgkl', '/m/09x0r', '/t/dd00129']"
kgIRzYILro0, 210.000, 220.000," ""/m/07r4k75,/m/09x0r,/t/dd00129""","['""/m/07r4k75', '/m/09x0r', '/t/dd00129']"
kieLTFaCZFU, 310.000, 320.000," ""/t/dd00121,/t/dd00129""","['""/t/dd00121', '/t/dd00129']"
klshjoyXTkw, 30.000, 40.000," ""/m/07qmpdm,/m/07yv9,/m/0k4j,/t/dd00129""","['""/m/07qmpdm', '/m/07yv9', '/m/0k4j', '/t/dd00129']"
l4P7f1VgSSU, 380.000, 390.000," ""/m/07phhsh,/m/07yv9,/t/dd00129""","['""/m/07phhsh', '/m/07yv9', '/t/dd00129']"
lp34OPr-9AY, 100.000, 110.000," ""/m/09x0r,/t/dd00013,/t/dd00129""","['""/m/09x0r', '/t/dd00013', '/t/dd00129']"
lt-jiIXkOmY, 40.000, 50.000," ""/m/03p19w,/m/07yv9,/t/dd00129""","['""/m/03p19w', '/m/07yv9', '/t/dd00129']"
m160FX9Sln8, 120.000, 130.000," ""/m/07sx8x_,/t/dd00129""","['""/m/07sx8x_', '/t/dd00129']"
mJY4khIQGck, 140.000, 150.000," ""/m/068hy,/m/0bt9lr,/m/0ghcn6,/m/0jbk,/t/dd00129""","['""/m/068hy', '/m/0bt9lr', '/m/0ghcn6', '/m/0jbk', '/t/dd00129']"
mYehsuARe6A, 40.000, 50.000," ""/m/07sx8x_,/t/dd00129""","['""/m/07sx8x_', '/t/dd00129']"
mf7lZOWnUfs, 100.000, 110.000," ""/m/07qc9xj,/m/09x0r,/t/dd00129""","['""/m/07qc9xj', '/m/09x0r', '/t/dd00129']"
mmRtJhecp14, 520.000, 530.000," ""/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/014yck', '/m/07yv9', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
nGa9YKv6SCw, 470.000, 480.000," ""/m/02fs_r,/m/09x0r,/t/dd00129""","['""/m/02fs_r', '/m/09x0r', '/t/dd00129']"
nQyRAHc7uhw, 230.000, 240.000," ""/m/09ct_,/m/09x0r,/t/dd00129""","['""/m/09ct_', '/m/09x0r', '/t/dd00129']"
nR6vw_k44lg, 30.000, 40.000," ""/m/04rlf,/m/07xzm,/t/dd00129""","['""/m/04rlf', '/m/07xzm', '/t/dd00129']"
n_2iNMmiYco, 150.000, 160.000," ""/m/04rlf,/m/07pc8lb,/t/dd00129""","['""/m/04rlf', '/m/07pc8lb', '/t/dd00129']"
ntzB1zCeVXY, 20.000, 30.000," ""/m/07r04,/m/07yv9,/t/dd00129,/t/dd00130""","['""/m/07r04', '/m/07yv9', '/t/dd00129', '/t/dd00130']"
nv0TV4MOvxE, 470.000, 480.000," ""/m/015p6,/m/07pggtn,/m/07sx8x_,/t/dd00129""","['""/m/015p6', '/m/07pggtn', '/m/07sx8x_', '/t/dd00129']"
o76baydsjDU, 20.000, 30.000," ""/m/01bjv,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/01bjv', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
oXNQ17EMNVA, 0.000, 10.000," ""/m/04rlf,/m/07qyrcz,/t/dd00129""","['""/m/04rlf', '/m/07qyrcz', '/t/dd00129']"
ov0Fe829K7s, 200.000, 210.000," ""/m/07qf0zm,/m/0chx_,/m/0jbk,/t/dd00129""","['""/m/07qf0zm', '/m/0chx_', '/m/0jbk', '/t/dd00129']"
pB6t7JK-9MI, 520.000, 530.000," ""/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk,/t/dd00129""","['""/m/068zj', '/m/09x0r', '/m/0ch8v', '/m/0jbk', '/t/dd00129']"
pE4ckWU11NA, 560.000, 570.000," ""/m/0199g,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/0199g', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
pOPg5gfWwTs, 30.000, 40.000," ""/m/05zppz,/m/06h7j,/m/09x0r,/t/dd00128,/t/dd00129""","['""/m/05zppz', '/m/06h7j', '/m/09x0r', '/t/dd00128', '/t/dd00129']"
pVweRECRXxo, 360.000, 370.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
q8XPuolEZ6Q, 70.000, 80.000," ""/m/01yg9g,/m/02mk9,/m/07k1x,/t/dd00129""","['""/m/01yg9g', '/m/02mk9', '/m/07k1x', '/t/dd00129']"
qGyGTzix_Nk, 20.000, 30.000," ""/m/04rlf,/m/068zj,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/04rlf', '/m/068zj', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
qYZo8SyvCzU, 210.000, 220.000," ""/m/07hvw1,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00129""","['""/m/07hvw1', '/m/07yv9', '/m/09x0r', '/m/0cmf2', '/m/0k5j', '/t/dd00129']"
qu4_HQoObdQ, 230.000, 240.000," ""/m/04rlf,/m/0790c,/t/dd00129""","['""/m/04rlf', '/m/0790c', '/t/dd00129']"
rBjPObr45eM, 10.000, 20.000," ""/m/019jd,/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/019jd', '/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
rJmRUSucuSs, 390.000, 400.000," ""/m/01yg9g,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/01yg9g', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
rT1UMzblW_w, 10.000, 20.000," ""/m/0k65p,/t/dd00129""","['""/m/0k65p', '/t/dd00129']"
raQkEDa3xc4, 140.000, 150.000," ""/m/08p9q4,/m/09x0r,/t/dd00129""","['""/m/08p9q4', '/m/09x0r', '/t/dd00129']"
rj4T3-8PeAE, 200.000, 210.000," ""/m/030rvx,/m/09x0r,/t/dd00129""","['""/m/030rvx', '/m/09x0r', '/t/dd00129']"
s8wi9HPl9oI, 0.000, 10.000," ""/m/0199g,/t/dd00129""","['""/m/0199g', '/t/dd00129']"
sHG1EezICt0, 10.000, 20.000," ""/m/07sx8x_,/t/dd00129""","['""/m/07sx8x_', '/t/dd00129']"
sbhakG0pQVY, 0.000, 10.000," ""/m/04rlf,/m/09x0r,/m/0gy1t2s,/t/dd00129""","['""/m/04rlf', '/m/09x0r', '/m/0gy1t2s', '/t/dd00129']"
sj238FA4c3s, 0.000, 10.000," ""/m/028v0c,/m/07yv9,/t/dd00129,/t/dd00130""","['""/m/028v0c', '/m/07yv9', '/t/dd00129', '/t/dd00130']"
smgPntD7sv0, 10.000, 20.000," ""/m/07qmpdm,/m/07yv9,/t/dd00129""","['""/m/07qmpdm', '/m/07yv9', '/t/dd00129']"
t60XU3HolYo, 160.000, 170.000," ""/m/0cj0r,/t/dd00129""","['""/m/0cj0r', '/t/dd00129']"
tZxc4-ee3AU, 340.000, 350.000," ""/m/068zj,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/068zj', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
trc7uRpZGrI, 280.000, 290.000," ""/m/03p19w,/m/07yv9,/t/dd00129""","['""/m/03p19w', '/m/07yv9', '/t/dd00129']"
tuZYdoic2lk, 10.000, 20.000," ""/m/014zdl,/m/09x0r,/t/dd00129""","['""/m/014zdl', '/m/09x0r', '/t/dd00129']"
u4LLeLpIVjg, 400.000, 410.000," ""/m/03p19w,/t/dd00129""","['""/m/03p19w', '/t/dd00129']"
upcL7tojfd4, 150.000, 160.000," ""/m/05zppz,/m/09x0r,/m/0lyf6,/t/dd00129""","['""/m/05zppz', '/m/09x0r', '/m/0lyf6', '/t/dd00129']"
usjxOxDQYHI, 30.000, 40.000," ""/m/05r5wn,/m/07qn4z3,/m/09x0r,/t/dd00129""","['""/m/05r5wn', '/m/07qn4z3', '/m/09x0r', '/t/dd00129']"
vGd6Z1DHbNE, 0.000, 10.000," ""/m/09x0r,/m/0cj0r,/t/dd00129""","['""/m/09x0r', '/m/0cj0r', '/t/dd00129']"
vOVP7w1ZlqY, 50.000, 60.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
w-5nHvqT2_U, 20.000, 30.000," ""/m/02rhddq,/t/dd00129""","['""/m/02rhddq', '/t/dd00129']"
w61ekNETEgc, 320.000, 330.000," ""/m/019jd,/m/02rlv9,/m/07qfr4h,/m/07yv9,/m/09x0r,/t/dd00129""","['""/m/019jd', '/m/02rlv9', '/m/07qfr4h', '/m/07yv9', '/m/09x0r', '/t/dd00129']"
wiWxg1qAqJ4, 190.000, 200.000," ""/m/07p6mqd,/m/09x0r,/m/0ytgt,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/m/0ytgt', '/t/dd00129']"
xXFyAC2KscM, 550.000, 560.000," ""/m/07sx8x_,/m/09x0r,/t/dd00129""","['""/m/07sx8x_', '/m/09x0r', '/t/dd00129']"
x_SdET0hB7A, 590.000, 600.000," ""/m/07pxg6y,/m/09x0r,/t/dd00129""","['""/m/07pxg6y', '/m/09x0r', '/t/dd00129']"
yB9PdXxCCwY, 290.000, 300.000," ""/m/09x0r,/m/0cj0r,/t/dd00129""","['""/m/09x0r', '/m/0cj0r', '/t/dd00129']"
yVXgN1Sp0TI, 30.000, 40.000," ""/m/07hvw1,/m/09x0r,/m/0k4j,/t/dd00129""","['""/m/07hvw1', '/m/09x0r', '/m/0k4j', '/t/dd00129']"
yq84OepE8uw, 50.000, 60.000," ""/m/02mk9,/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00129,/t/dd00130""","['""/m/02mk9', '/m/07pb8fc', '/m/07yv9', '/m/0k4j', '/t/dd00129', '/t/dd00130']"
z6evA_Zskqk, 40.000, 50.000," ""/m/07phhsh,/m/07yv9,/t/dd00129""","['""/m/07phhsh', '/m/07yv9', '/t/dd00129']"
zaJ09VUP5io, 40.000, 50.000," ""/m/04_sv,/m/07yv9,/t/dd00129""","['""/m/04_sv', '/m/07yv9', '/t/dd00129']"
zkDC_-zqqKY, 230.000, 240.000," ""/m/03k3r,/m/04rlf,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/04rlf', '/m/0jbk', '/t/dd00129']"
zuvd1uhmi88, 190.000, 200.000," ""/m/07yv9,/t/dd00129,/t/dd00130""","['""/m/07yv9', '/t/dd00129', '/t/dd00130']"
zvDRFbVqMJg, 160.000, 170.000," ""/m/04rlf,/m/09x0r,/m/0cj0r,/t/dd00129""","['""/m/04rlf', '/m/09x0r', '/m/0cj0r', '/t/dd00129']"
zwAO1RWFUPU, 70.000, 80.000," ""/m/04rlf,/m/07qv_d5,/t/dd00129""","['""/m/04rlf', '/m/07qv_d5', '/t/dd00129']"
zxBo7nnAMVE, 30.000, 40.000," ""/m/04rlf,/m/06h7j,/m/09x0r,/t/dd00129""","['""/m/04rlf', '/m/06h7j', '/m/09x0r', '/t/dd00129']"
